APPLICANT_ID,AGE_RANGE,INCOME_CATEGORY,RACE,CREDIT_RATING,APPROVED
1,3,4,2,6,0
2,3,4,3,5,0
3,2,4,4,6,1
4,2,2,5,6,1
5,1,4,4,5,1
6,3,1,3,6,1
7,2,4,2,4,0
8,2,4,4,1,0
9,3,3,5,3,0
10,2,4,4,5,1
11,3,4,4,5,1
12,3,1,5,2,0
13,3,4,5,4,1
14,3,4,1,4,0
15,3,4,3,5,0
16,2,1,1,6,1
17,2,4,5,2,0
18,2,4,2,3,1
19,2,4,2,4,0
20,2,2,5,1,0
21,2,4,4,1,0
22,2,1,3,2,0
23,1,4,3,4,0
24,2,1,3,1,0
25,1,2,4,6,1
26,3,4,4,5,1
27,3,4,1,2,0
28,3,2,3,6,1
29,3,4,4,1,0
30,2,1,5,1,0
31,2,3,3,5,0
32,2,1,1,3,0
33,3,3,5,5,1
34,2,2,4,5,1
35,3,4,5,5,1
36,1,1,2,2,0
37,1,3,5,3,0
38,2,4,4,4,0
39,3,1,4,4,0
40,2,2,4,6,1
41,3,3,1,3,0
42,1,1,2,2,0
43,3,4,3,2,0
44,2,1,5,1,0
45,2,4,2,6,0
46,3,4,4,2,0
47,3,2,5,2,0
48,2,4,2,4,0
49,2,4,2,6,0
50,2,4,1,6,0
51,3,4,4,5,1
52,1,4,3,5,0
53,2,3,3,6,1
54,3,2,5,4,1
55,2,4,1,3,0
56,1,1,3,5,0
57,3,4,4,5,1
58,1,1,1,2,0
59,3,4,1,4,0
60,2,4,1,2,0
61,3,3,5,3,0
62,1,4,3,2,0
63,3,2,2,2,0
64,3,4,2,3,0
65,3,4,5,6,1
66,3,4,3,6,1
67,3,4,1,1,0
68,2,4,1,1,0
69,2,3,4,1,0
70,2,2,4,6,1
71,2,2,3,2,0
72,2,1,5,2,0
73,2,2,2,4,0
74,1,2,5,5,1
75,2,1,4,1,0
76,3,4,2,2,0
77,3,2,5,4,1
78,2,3,5,2,0
79,1,4,3,4,0
80,2,1,4,4,0
81,2,2,4,2,0
82,1,3,3,4,0
83,2,1,5,1,0
84,3,2,4,3,0
85,2,4,3,1,0
86,2,1,2,1,0
87,3,2,5,2,0
88,2,2,1,5,0
89,2,4,4,6,1
90,2,1,2,1,0
91,1,4,2,6,0
92,2,4,4,6,1
93,3,4,3,5,0
94,3,1,1,5,0
95,1,4,1,6,0
96,2,4,3,3,0
97,3,2,5,3,0
98,3,4,4,3,0
99,3,4,5,1,0
100,2,3,1,5,0
101,3,4,2,6,0
102,3,1,5,5,1
103,3,3,4,5,1
104,2,4,2,6,0
105,1,1,5,5,1
106,2,4,2,2,0
107,2,3,2,1,0
108,2,2,4,4,0
109,2,4,3,1,0
110,2,3,1,3,0
111,2,2,3,5,0
112,1,1,5,1,0
113,3,1,4,1,0
114,2,3,2,4,0
115,1,4,3,6,1
116,2,2,5,2,0
117,3,1,2,3,0
118,1,4,2,5,0
119,3,4,3,3,0
120,1,4,1,6,0
121,3,4,3,3,0
122,2,1,3,4,0
123,2,2,4,6,1
124,2,4,5,4,1
125,2,4,3,1,0
126,3,2,1,4,0
