APPLICANT_ID,AGE_RANGE,INCOME_CATEGORY,RACE,CREDIT_RATING,APPROVED
1,3,4,2,6,0
2,3,4,3,5,0
3,2,3,4,6,0
4,2,2,5,6,0
5,1,4,4,5,0
6,3,1,3,6,0
7,1,4,2,4,0
8,1,4,4,1,1
9,3,3,5,3,1
10,2,2,4,5,0
11,3,2,4,5,0
12,1,1,5,2,1
13,1,4,5,4,1
14,3,2,1,4,0
15,3,2,3,5,0
16,1,1,1,6,0
17,2,3,5,2,1
18,2,3,2,3,0
19,1,3,2,4,0
20,2,2,5,1,1
21,2,4,4,1,1
22,2,1,3,2,1
23,1,4,3,4,0
24,2,1,3,1,1
25,1,2,4,6,0
26,3,4,4,5,0
27,3,4,1,2,0
28,1,2,3,6,0
29,1,4,4,1,1
30,2,1,5,1,1
31,2,3,3,5,0
32,1,1,1,3,0
33,3,3,5,5,1
34,2,2,4,5,0
35,3,4,5,5,1
36,1,1,2,2,1
37,1,3,5,3,1
38,2,4,4,4,1
39,3,1,4,4,1
40,2,2,4,6,0
41,3,3,1,3,0
42,1,1,2,2,1
43,3,4,3,2,1
44,2,1,5,1,1
45,2,4,2,6,0
46,3,4,4,2,1
47,1,2,5,2,1
48,2,4,2,4,0
49,2,4,2,6,0
50,2,4,1,6,0
51,3,2,4,5,0
52,1,2,3,5,0
53,2,3,3,6,0
54,3,2,5,4,1
55,2,4,1,3,0
56,1,1,3,5,0
57,3,4,4,5,0
58,1,1,1,2,0
59,3,4,1,4,0
60,2,4,1,2,0
61,3,3,5,3,1
62,1,4,3,2,1
63,3,2,2,2,1
64,1,1,2,3,0
65,1,1,5,6,0
66,1,1,3,6,0
67,3,1,1,1,1
68,2,4,1,1,1
69,2,3,4,1,1
70,2,2,4,6,0
71,1,2,3,2,1
72,1,1,5,2,1
73,2,2,2,4,0
74,1,2,5,5,1
75,2,1,4,1,1
76,3,4,2,2,1
77,3,2,5,4,1
78,2,3,5,2,1
79,1,4,3,4,0
80,2,1,4,4,1
81,2,2,4,2,1
82,1,3,3,4,0
83,2,1,5,1,1
84,3,2,4,3,1
85,1,4,3,1,1
86,1,1,2,1,1
87,3,2,5,2,1
88,2,2,1,5,0
89,2,4,4,6,0
90,2,1,2,1,1
91,1,4,2,6,0
92,2,4,4,6,0
93,3,4,3,5,0
94,3,1,1,5,0
95,1,4,1,6,0
96,2,4,3,3,1
97,3,2,5,3,1
98,1,4,4,3,1
99,1,4,5,1,1
100,2,3,1,5,0
101,3,4,2,6,0
102,1,1,5,5,1
103,1,3,4,5,0
104,2,4,2,6,0
105,1,1,5,5,1
106,2,4,2,2,1
107,2,3,2,1,1
108,2,2,4,4,1
109,2,4,3,1,1
110,2,3,1,3,0
111,2,2,3,5,0
112,1,1,5,1,1
113,3,1,4,1,1
114,2,3,2,4,0
115,1,4,3,6,0
116,2,2,5,2,1
117,3,1,2,3,0
118,1,4,2,5,0
119,3,3,3,3,1
120,1,3,1,6,0
121,3,3,3,3,1
122,2,1,3,4,0
123,2,2,4,6,0
124,2,4,5,4,1
125,2,4,3,1,1
126,3,2,1,4,0
